SentimentText,SentimentPolarity
피부가 말끔해지는 효과가 바로 나왔어요.,1
피지를 전부 없애지는 못했지만,-1
효과가 보이니 좋아요.,1
살리실산 BHA 여드름균완화 IPMP포뮬러가 함유되어 있는 폼이고,0
여드름피부에 딱이네요,1
쫀쫀하고 밀착력 높은 크리미한 제형에,0
풍성하고 부드러운 거품이,1
모공속까지 딥클린 해 주면서 ,1
순하게 씻어 주네요.,1
아미노 성분이 함유되어 있어서 ,0
세안 후 피부 당김 없이,1
촉촉해요.,1
저자극이라,1
하나만으로도 선크림까지 세정이 되어서 너무 좋습니다.,1
살리실산 성분이 함유되어서 트러블 완화에도 괜찮을것 같습니다.,1
트러블 완화에도 괜찮을것 같습니다.,1
딥클렌징이지만,1
피부가 당기지 않는 점도 마음에 듭니다.,1
세안 후에 당기는 느낌이 없습니다.,1
자극없이 ,1
모공이 시원하게 세정되는 느낌이라 좋아요,1
피부트러블이 완화되고 있습니다. ,1
순하고,1
부드럽네요.,1
은백색의 클렌저가,1
풍부한 거품을 만들어 깨끗하게 세정되는 느낌이에요. ,1
트러블 때문에 얼굴이 가려우신 분들에게 효과가 좋아 추천해요,1
복합성인데 속당김이 느껴집니다. ,-1
속당김이 느껴집니다. ,-1
약산성 여드름케어 기능성 제품이라고 해서 샀는데 효과가 좋아요.,1
여드름케어 기능성 제품이라고 해서 샀는데 효과가 좋아요.,1
세정력도 괜찮은 것 같습니다.,1
"거품도 풍성하게 잘 나고, ",1
씻고 나면 개운하네요.,1
"살리실산 성분이 함유되어 있다고 해서, 자극적이거나 건조하진 않을까 걱정이 되었어요.",0
순한 느낌이고,1
세안 후 건조하지도 않습니다. ,1
각질케어가 되어서 그런지,1
세안 후 개운합니다. ,1
 자극이 없어서 좋네요.,1
세수하고 나서도 당김 없습니다.,1
 거품도 풍성하게 나옵니다. ,1
여드름도 많이 들어간 상태고 ,1
각질 피지 케어까지 되니까 좋네요.,1
피지 케어까지 되니까 좋네요.,1
진주펄같은 은백색이고 ,0
상쾌한 향이 진하지 않아서 좋습니다.,1
제형이 묽지도 꾸덕하지도 않고,1
거품이 잘 나와서 클렌징하기 편하고 좋습니다.,1
클렌징하기 편하고 좋습니다.,1
쫀쫀한 거품제형으로,1
순해서,1
자극이 없네요.,1
피부가 건성이라 세안 후 바로 건조해지는 편인데 피부가 당기거나 건조함이 없어 만족해요. ,1
피부가 당기거나 건조함이 없어 만족해요.,1
순하고,1
자극 없이,1
손으로 거품 내면 잘 안 나지만,-1
브러쉬로 거품 만들면 풍성하게 잘 만들어져서 좋습니다.,1
피지 관리도 되는 것 같아서 좋습니다.,1
효과도 기대해볼게요.,0
순하게 피부트러블 관리할 수 있어서 좋았어요.,1
세정은 말끔하게 되는데,1
과하게 뽀득뽀득하게 닦여서 피부가 당기는 느낌이 전혀 없어서 좋았습니다. ,1
약산성이다보니,0
아침에 사용하기에도 좋네요. ,1
조금만 써도 거품이 풍성하게 나서 좋았어요.,1
이상한 향이 나는 것도 아니고,1
 뾰루지가 가라앉고,1
피부톤이 밝아졌습니다. ,1
용량이 작아서 아쉬워요.,-1
유분기 많은 피부 세안할 때부터 간편하게 케어할 수 있는 제품이라 마음에 드네요.,1
약산성 클렌저는,0
"특유의 미끌거림과 덜 씻겨 내려간 듯한 느낌이라 몇 번 사용하고 중단했는데, OOO 폼은 그럴 걱정 하나도 없고,",1
거품도 풍성하고,1
적당한 뽀득 거림이 느껴져서 좋습니다. ,1
"피부도 더 촉촉한 것 같고, ",1
진정된 느낌이라 ,1
데일리 케어용으로 손색 없는 폼클렌저네요.,1
향은 좀 약해서 아쉬워요.,-1
제형이 아크네폼이라 좋고,1
건조하지 않아서 좋았습니다.,1
과하게 뽀득하지도 않고,1
거품도 잘 나서,1
사용감이 개운하고,1
수분감도 촉촉히 남아 있어,1
피부에 자극적이지 않습니다.,1
효과가 정말 기대가 됩니다.,0
약산성 성분으로,1
여드름피부에 좋은 클렌저입니다.,1
피지와 각질을 효과적으로 제거하고,1
피부를 깨끗하게 해주네요.,1
여드름 완화에도 효과가 있어요.,1
미세먼지도 잘 제거해주고,1
여드름 케어에 효과가 있다는 게 느껴져요.,1
거품이 풍성하고,1
거품 제형이 아주 작고 고와서,1
구석구석 잘 씻어줍니다.,1
살리실산 성분이 함유 되었는데도,0
순하고,1
세정력도 좋습니다. ,1
각질케어가 되서,1
피부 유분 수분 밸런스 맞추기도 좋습니다.,1
양이 좀 작아서 아쉬워요.,-1
기름기를 잘 제거해서 마음에 들지만,1
자극이 심해요.,-1
세안을 하고 나면 피부가 붉어지기도 하더라고요.,-1
여드름엔 OO만한 게 없어서,1
약산성이고,1
초미세먼지 까지 제거한다고 하니 더 안심이 돼요.,1
제형이 쫀쫀하고,1
밀도가 높은 거품 제형으로,1
피부가 뽀득해지고,1
미끌거림이 없는,1
말끔한 세정력이 돋보입니다.,1
자극 없고,1
 당김 없이,1
말끔히 유분과 피지를 씻어낼 수 있어서 만족스럽습니다.,1
제가 여드름 민감성 피부인데 ○○○ 써보니까 뾰루지 전혀 안나서 너무 좋았네요,1
뾰루지 전혀 안나서 너무 좋았네요,1
순해요,1
여드름에 효과 있는 것 같습니다,1
선크림정도는 깨끗하게 지워줘요,1
피부가 부들부들 해졌네요,1
세정력이 약하긴 하지만,-1
약산성 폼클렌징 제품임에도 세정력이 좋아요.,1
세정력이 좋아요.,1
"자극이 없고,",1
잔여물 없이 말끔하게 세정되고,1
세안 후에도 건조하지 않습니다. ,1
 미세먼지와 같은 노폐물들을 깨끗하게 클렌징 해주는 ,1
트러블과 여드름에 효과적인 클렌징폼이네요,1
오랜 시간 지속되는 오일컨트롤 효과로,1
 오일컨트롤 효과로,1
번들거림과 과잉피지를 잡아주니까 여드름이 완화됐어요.,1
쫀득쫀득하고 부드러운 제형으로 ,1
기본적인 베이스 메이크업 정도는 깔끔하게 세정됐어요,1
거품도 잘나고 ,1
세정력도 좋고,1
여드름 유발균을 억제하는 성분도 함유하고 있어서,1
"여드름, 지성 피부가 사용하기에 너무 좋은 것 같습니다. ",1
지성 피부가 사용하기에 너무 좋은 것 같습니다.,1
부드러운 제형으로,1
거품도 잘나며,1
제품 제형은 묽어서 적당히 짜서 쓸 수 있어요.,1
쫀쫀한 거품이 나지 않고 금방 사라지는 약한 거품이 생기네요 ,-1
 거품이 심하지 않아,1
씻을때도 순하게 씻겨지고,1
큰 자극은 없는것 같습니다.,1
민감하고 여드름피부에 좋지 않을까 싶네요. ,1
향은 자극적이여서 아쉬웠습니다. ,-1
거품이 나지 않고 금방 사라지는 약한 거품이 생기네요 ,-1
세안 후에 뽀드득 깨끗했어요.,1
요즘과 같이 미세먼지가 좋지 않은 날에 세안용으로 딱이에요.,1
순해요. ,1
피지는 확실히 줄어드는 것 같습니다. ,1
 bha성분이 들어 있어서,1
각질제거와 피지케어가 되는 느낌입니다. ,1
피지케어가 되는 느낌입니다. ,1
따끔거리거나 유수분을 빨아드리는 느낌이 아니라서 ,1
유수분을 빨아드리는 느낌이 아니라서 ,1
쫀득한 텍스쳐에,1
거품도 미세거품으로 잘 나와서 세안하기 편리합니다.,1
세안하기 편리합니다.,1
거품력도 좋고,1
딥클렌징 하기에 너무 좋았네요,1
지성피부에 쓰니까 너무 깔끔하고 좋다고 하더라고요,1
여름이라 선크림 매일 바르는데 클렌징으로도 말끔하게 지워지고,1
사용감이 산뜻합니다,1
건성 타입이라 주 2회 ○○○로 사용 해서 딥클렌징 하니 너무 좋습니다. ,1
순해서,1
청소년기 피지 분비 많은 시기에 피지가 억제되어 쓰기에 좋을 것 같네요,1
○○○로 사용 해서 딥클렌징 하니 너무 좋습니다.,1
너무 깔끔하고 좋다고 하더라고요,1
향은 은은하니 좋은 향이 납니다.,1
제형이 부드럽습니다. ,1
세정력 좋고,1
순하고,1
클렌징 후 피부가 당기지 않습니다.,1
자극이 없어서 괜찮네요.,1
용량은 작지만 ,-1
여드름 케어에 효과가 있으면 좋겠네요.,0
쫀쫀한 제형과,1
풍성한 거품으로,1
여름철 오돌토돌 올라온 피지들을 한방에 잡아줍니다. ,1
아크네(트러블)전용 폼클렌징이라 효과 기대해 봅나다.,0
사용감이 개운하고,1
산뜻하고 ,1
피부가 깨끗한 느낌입니다. ,1
건조하지 않아서 ,1
여름철 편하게 사용하면 좋을 것 같습니다.,1
제형이 가볍고 뻑뻑하지 않습니다.,1
뻑뻑하지 않습니다.,1
세정력이 좋고,1
순합니다. ,1
부드럽게 거품이 잘 나서,1
화장이 잘 지워지고,1
사용감도 부드럽고,1
건조해지지 않아서 좋습니다.,1
세안 후 개운함이 있어 사용감이 좋습니다.,1
피부가 당기지 않아 좋습니다.,1
여드름 전용 클렌저를 사용하고 효과를 보고 있어요.,1
세정도 잘 되고 ,1
세정 후에 피부가 당기지를 않는 등 만족했어요. ,1
모공 속까지 99% 딥클린하여 ,1
"피부 속 각종 피지, 각질, 메이크업 잔여물을  깨끗하게 제거하여 최상의 피부상태를 유지토록 도와주는 제품이에요",1
여름이면 더욱 심해지는 트러블도 잠재울 수 있는 제품으로 ,1
순해서 ,1
자극이 느껴지지 않고,1
피부 속 모공까지 딥클린할 수 있어서,1
 한결 달라진 진정된 피부를 체험할 수 있어 만족했어요.,1
저자극 약산성이라,1
 민감한 피부도 자극없이 안심하고 쓸 수 있었습니다.,1
피부 유분은 잡아주면서 ,1
건조하지 않고 ,1
촉촉함은 남겨줘,1
피부 자극없이 ,1
깨끗히 클렌징 할수 있었습니다. ,1
약산성이라,0
제형이 부드럽고,1
거품도 제법나서 클렌징하기 좋았습니다.,1
거품 잘 일어나고,1
사용감이 좋으며,1
깨끗하고 뽀송한 느낌으로 마무리가 됩니다,1
가격 좋고 ,1
품질 좋아서,1
여드름 진정 효과와 모공케어에 아주 좋아요,1
앞으로 지속적인 사용으로 여드름이 완전히 사라지고 피부도 좋아지길 기대해 봅니,0
얼굴 하얗고,1
윤기가 나면서도 관리받은 느낌이 듭니다. ,1
부드럽게 발리는 느낌과,1
모공 속으로 스며들어 잘 씻기는 느낌이 들어서 너무 좋았습니다.,1
제형의 가벼운 느낌이 더 좋았던 거 같습니다. ,1
세안 후에도 당김도 없으면서 ,1
촉촉하고 ,1
가볍고 개운한 느낌이 든답니다. ,1
거품도 쫀쫀하게 잘 나고,1
세정력도 좋습니다.,1
세안 후 당김도 없이 ,1
촉촉해서,1
사용감까지 좋습니다.,1
피지가 잘 씻기고,1
각질도 관리되고,1
살리실산성분이 함유되어,1
트러블도 완화시켜주는듯 합니다. ,1
거품도 풍성하게 잘나와,1
세정력이 좋고,1
약산성이라,1
자극없이 ,1
피부를 촉촉하게 보호해 주어서 좋습니다. ,1
세안 후 당김도 덜합니다.,1
자극없이 클렌징됩니다. ,1
거품도 풍성하고,1
 부드럽게 세정되니까,1
피부가 당기지도 않고 ,1
촉촉하게 마무리 되네요. ,1
여드름과 민감성 피부에 자극없이 딥클린 해줄수있을것 같아요. ,1
자극없이 딥클린 해줄수있을것 같아요. ,1
할인 없이 사면 가격이 좀 비싼 느낌이요.,-1
딥클린 해줄수있을것 같아요.,1
이틀 세안하고나니 좁쌀여드름이 가라앉았어요.,1
모공도 깨끗해진거 같아 ,1
 피지먹고사는 진드기들 살균효과가 확실하단걸 느낄 수 있었어요. ,1
살리실산이 포함되어 있어서 그런 것 같아요. ,1
알러지피부인데도 자극적이지 않고 ,1
크림제형의 부드럽고 풍성한 거품이 나서,1
1분동안 살살 문질러 씼었더니 잘 세정되네요. ,1
풍성한 거품이 나서,1
자극 없이,1
순하게 세정되는 느낌이,1
각질과 피지를 조절해줘서,1
피부가 맑아지는 느낌이 듭니다.,1
효과를 봤으면 좋겠네요.,0
사용감이 좋아 얼굴이 정돈된 느낌이예요. ,1
꾸준히 사용하면 효과 있을 거 같네요,0
순해서,1
피부 예민할 때 쓰기 정말 좋아요.,1
당김 없이,1
촉촉하게 마무리되어서 만족스럽습니다.,1
블랙헤드가 사라지진 않지만,-1
작아지길 바라며 꾸준히 써보려고요.,0
화이트헤드에는 효과 보고 있습니다.,1
순한 클렌저로,1
트러블 피부이신 분들께 추천해요.,1
향은 강하지 않고,1
거품이 잘 나네요. ,1
세정력이 좋아서,1
씻을때 사용감이 개운하고,1
당기거나 갈라지지는 않네요. ,1
갈라지지는 않네요. ,1
가격이 좀 부담되지만,-1
 데일리로 쓰기 좋은 클렌징폼같네요.,1
여드름균을 억제하고 ,1
세정도 잘 되는 폼클렌징이 유용했네요. ,1
거품도 잘 나더라구요,1
자극 전혀 없이 세안 가능했습니다.,1
여드름이 잘 나는 사춘기 아이들부터 유분기와 피지로 걱정인 성인까지 무난하게 잘 쓸 수 있는 제품이라 생각합니다. ,1
과잉 각질과 피지를 잡아주는 효과가 있습니다.,1
여드름 유발균을 완화해줘서 좋습니다.,1
피부에 순하게,1
자극 없이,1
건조하지 않고,1
깨끗하게 세정되어 좋습니다.,1
여름에는 OO 폼클렌저가 딱이에요.,1
피지도 정리되고,1
상큼한 느낌이에요.,1
여드름 완화 효과가 있다니 여름 동안 꾸준히 써볼 생각입니다.,0
여드름 피부에 자극 없이 부드럽게 클렌징 되니 정말 좋아요.,1
자극 없이,1
부드럽게 클렌징 되니,1
확실히 피지와 각질을 잡아주는 것 같아요.,1
여드름 피부이신 분들께 추천해요.,1
순하게,1
당김 없이,1
촉촉하게,1
거품 제형이 쫀쫀하고 풍성해서,1
자극 없이,1
살리실산 성분이 있어서 노폐물과 피지관리를 해줘서 좋습니다.,1
순해서,1
모든 피부타입이 사용 할 수 있을 것 같습니다.,1
용량이 작아,-1
노폐물과 피지관리를 해줘서 좋습니다.,1
세정력이 되게 좋다고 느꼈어요.,1
딥클린이라서 다른 제품들보다 세정력이 더 좋았어요. ,1
잔여물도 없고 너무 개운했네요. ,1
사용감이 뽀득뽀득하니 ,1
 피지가 제거될 것 같은 느낌이더라구요. ,1
 거품이 많이 나서 더 좋았네요. ,1
복합성이나 지성인 사람이 사용하기 좋습니다. ,1
깨끗하게 세안되는 느낌이라,1
여름에 딱인 듯합니다.,1
샘플이 없어서 아쉽지만,-1
세정력도 좋고,1
화장도 다 지워지는 세정력이 있습니다.,1
용량만 더 컸으면,-1
효과가 있는 건지 피부가 훨씬 깔끔합니다.,1
거품도 풍성하게 잘나서,1
미세하게 모공까지 씻어주고 해주고,1
자극이 덜 해서 민감한 피부에도 좋은 것 같습니다.,1
순한,1
약산성 클렌저이지만,1
세정력까지 좋아서,1
가격도 저렴하고,1
우수한 세정력이 필요하신 분들께 OOO 제품을 추천합니다.,1
수분감 느껴지고,1
트러블에 좋은 클렌저라 매일 써도 부담이 없네요,1
촉촉한 제형으로 ,1
향이 산뜻하고,1
거품이 잘 나와서,1
산뜻하게 마무리되는 사용감이 좋아요.,1
적은양으로 거품도 잘 생기고,1
순하다는게 느껴졌네요.,1
세안 후엔 피부결이 정돈되듯이 부드럽네요.,1
피부 당김이 없어서 좋아요.,1
유분기를 잡아 수분감이 좋고,1
피부당김없고,1
자극이 없다는게,1
세정력도 좋아요.,1
제형은 약간 묽은 제형이라 부드럽고,0
풍성한 거품이 잘 납니다.,1
향은 흔한 향이네요.,0
무향이면 더 좋겠지만,0
나쁜 향은 아니에요.,0
색조화장을 지워보니 완벽하게 지워지지는 않았어요.,-1
쫀쫀한 거품이 잘나서,1
거품이 잘나서,1
부드럽게 세안이 잘 돼요.,1
덥고 습하고 끈적이는 요즘 날씨에 시원하게 씻을 수 있어 좋은 제품입니다. ,1
이 제품을 사용하면 개운해요.,1
여드름에 지성 피부라서 여름이 힘든데 OOO 진짜 좋습니다. ,1
지성 피부라서 여름이 힘든데 OOO 진짜 좋습니다. ,1
올 여름 트러블 걱정없이 잘 사용 듯합니다. ,1
"향은 좀 아쉽지만, ",-1
약산성으로,1
피부에 자극없이,1
깨끗하게 클렌징 돼요.,1
보습력은 약한 편이지만,-1
여름에 유분조절 효과가 기대됩니다.,0
가족이 같이 사용하기에도 무리가 없어요.,1
모든피부에 편하게 사용할 수 있습니다.,1
모공속까지 깨끗하게 뽀득뽀득 세정되는 느낌이예요.,1
거품도 풍성하게 잘 나,1
부드럽게 세정되어 좋아요.,1
윤기와  탄력과  광채를  피부에 주네요. ,1
탄력과  광채를  피부에 주네요. ,1
광채를  피부에 주네요. ,1
촉촉함으로,1
생기 넘치는 피부를 만들어 주네요. ,1
건강한 성분들이 가득해 ,1
광채나는 피부가 되네요.,1
 빛나는 광채와 ,1
윤기 피부와  ,1
촉촉함으로 케어해주네요.,1
골치 아픈 여드름 유발균 완화시켜준다하니 계속 사용해보려 합니다.,0
꾸준히 사용하면 피부 관리가 잘 될 것 같습니다.,0
피지 제거에 탁월한데,1
저자극이라 안심됩니다.,1
"색조나 자차, 유분기 있는 화장품 지울 때 2차 세안 용도로도 좋아요. ",1
당김이 있어 ,-1
보습을 꼭 해줘야 합니다.,-1
뽀득해서 효과가 좋아 트러블 피부가 고민인 분들께 추천합니다.,1
순하고,1
가격이 합리적이어서 좋습니다.,1
지성 피부나 성인성 여드름이 나는 피부에 도움이 되는 제품입니다.,1
성인성 여드름이 나는 피부에 도움이 되는 제품입니다.,1
건성 피부는 마무리감이 건조할 수 있어,-1
마무리감이 건조할 수 있어,-1
약산성 계열의 폼클렌징이라,0
유분기 조절에 도움이 됩니다.,1
세정력도 좋고,1
무향이라 좋습니다.,1
발림성도 부드럽고,1
제형도 쫀쫀해서,1
잘 닦이고,1
수시로 올라오던 뾰루지 다 가라앉았네요.,1
효과는 진짜 좋아요.,1
뾰루지 올라올 것 같으면 바로 세안할 때 사용하면 금새 없어져요.,1
피부가 당기는 느낌 없어 좋네요.,1
충분히 거품이 나서,1
자극 없이,1
깊게 세정이 되는 느낌이 좋아요. ,1
세정력도 좋고 ,1
향도 자극적이지 않아서 좋습니다.,1
저자극인데도,1
세정력이 굉장히 좋네요.,1
잘 안 지워지는 립스틱도 깨끗이 잘 지워집니다.,1
여드름피부에 특히 좋은 것 같아요.,1
제형도 치약 짜는 듯한 느낌이라 좋습니다.,1
"제형이 묽지도 않고,",1
포밍시 거품이 풍성해서 ,1
피부 세정이 잘 되는 느낌입니다. ,1
"세안 후 건조해지지 않고,",1
트러블 없어서 좋습니다.,1
"양이 좀 적어서 많으면 좋겠고, ",-1
사용기간이 좀 아쉬워요.,-1
피부에 돋는 여드름을 예방하기 좋을 듯 해요.,1
트러블은 생기지 않았어요.,1
저자극 포뮬라인데도 ,1
사용하기 편하고요.,1
과잉피지 잡기 좋은 세안제라 좋네요.,1
오히려 더 잘 닦이니까 좋네요.,1
선크림도 잘 지워지고,1
얼굴에 올라오는 기름도 덜 해진 것 같습니다.,1
사용감이 산뜻해서 ,1
개운하고,1
건조하지 않아,1
촉촉함만 남습니다.,1
수분감이 좋습니다.,1
깨끗하게 모공까지 관리 되는 것 같아서 좋습니다.,1
아이들과도 같이 쓸 수 있는 세안제 입니다.,1
사용감이 남달라요.,1
전혀 안당기고,1
진짜 촉촉하네요.,1
자극없이,1
딥클렌징이 되는 게 느껴져서 너무 좋습니다.,1
향도 은은하고,1
풍성한 거품이 쫀쫀해서,1
잔여감이 미끌거리지 않아서 기분 좋아요.,1
사용감이 좋습니다. ,1
 뽀드득 하나,1
순한 느낌이고 ,1
 얼굴이 당기지가 않아요. ,1
깨끗하게 씻기는게 눈에 보이고 ,1
잔여물이 전혀 남지않아 피부모공이 깨끗해져가요. ,1
지성분들께 추천해요.,1
순해서,1
당기는 느낌이 없네요.,1
거품이 잘나고,1
세정력이 좋아,1
머리아픈 향이 아니라서 냄새에 민감한 분들도 충분히 사용할 수 있을 것 같네요,1
향이 자극적이지도 않고 ,1
모공까지 깨끗하게 씻기는 듯합니다. ,1
얼굴은 촉촉한 느낌이 들어서 좋습니다. ,1
사용감이 여름에 더 개운합니다.,1
씻고 나면 엄청 뽀드득합니다.,1
모공 깊은 곳까지 제대로 세정이 되는 느낌이라 더 좋습니다. ,1
작은 양으로도 세안도 가능하고,1
자극적이지 않아서 좋다 합니다.,1
민감성 피부인 저도 괜찮은 것 같습니다.,1
효과 기대해봅니다.,0
품질 좋네요,1
피부에 여러가지로 효과가 좋은거 같아요.,1
사용하기 간편해요.,1
촉촉하진 않지만,-1
매끈하게 잘 씻겨서,1
자극이 적고,1
세정력이 뛰어나서,1
가격이 저렴하지 않아,-1
가격만 저렴해지면 좋겠습니다.,-1
건조함이 없어요.,1
"세정력도 좋고, ",1
세안하고 당김도 없어요. ,1
뚜껑 사용이 불편해서 개선되면 좋을 듯합니다. ,-1
"딱 소리가 나야 제대로 닫히고, 안 그러면 약간 흘러나오네요.",-1
잘 닫아뒀는데 사용하려고 보면 조금 샌듯해서 좀 불편합니다. ,-1
가성비 좋은 상품입니다.,1
깨끗한 세안감 좋습니다,1
같이 온 증정품도 휴대하기 좋게 나왔어요.,1
유통기한이 좀 짧은게 왔네요,-1
플라스틱 뚜껑도 작아서 친환경적인 것 같습니다.,1
휴대하기 좋게 나왔어요.,1
여드름 피부에도 자극이 없어서 좋고,1
민감성 피부에도 좋고,1
트러블이 안 생겨 만족합니다. ,1
할인해서 샀는데 ,1
증정품까지 주셔서 기분이 좋습니다.,1
 촉촉하고,1
부드럽고,1
트러블도 올라오지 않고,1
세정력 또한 다른 폼클렌징에 뒤지지 않네요. ,1
효과가 좋기를 바랍니다. ,0
사용감이 특별히 좋은 정도는 아니고,0
그냥 무난한 사용감이네요.,0
세정력도 일반적인 수준이에요.,0
이렇다 할 트러블은 없는 걸 보니,1
순하고 ,1
자극없이 개운하게 세안되네요.,1
개운하게 세안되네요.,1
"모공 관리는 보통이고, ",0
각질은 스크럽 따로 해야 할 듯해요. ,-1
기본 클렌징 부분은 나쁘지 않네요. ,0
자극없고,1
세안도 잘되는 편입니다.,1
가격은 저렴한 편은 아니지만,-1
저렴하게 샀네요,1
세정력이 되게 좋아요 ,1
피부가 건조한 편이라 세안 후에 살짝 건조하긴 한데,-1
지성이 쓰면 딱 좋을 거 같은 느낌이네요,1
거품도 잘 나고,1
미끈거림 없이 잘 씻깁니다.,1
당김도 없고,1
깨끗한 느낌이 듭니다.,1
여드름도 많이 없어졌습니다.,1
"가격도 비싸지 않은데, ",1
"양도 많고,",1
"향은 살짝 아쉽고, ",-1
유통기간이 얼마 안 남은 제품을 보내 주셨네요.,-1
샘플이 없어서 아쉽지만,-1
저렴하게 잘 샀습니다. ,1
피부 트러블도 줄어들고 ,1
사용감이 산뜻해서 자주 사용합니다.,1
향도 좋습니다.,1
약산성이라,0
사용 후 여드름이 엄청 생겨서,-1
약산성이 다 좋지만은 않다는 걸 뒤늦게 알았습니다.,0
약산성이라 그런지,0
세정력도 최악이었어요.,-1
품질이 나빠,-1
세정력이 좋습니다.,1
메이크업도 잘 지워지고,1
세안 후 뽀드득해서 좋습니다.,1
당기는 느낌이 있습니다.,-1
피부타입이 건성인데 OOO 딥클린을 사용 후 얼굴에 윤기가 흐릅니다 ,1
얼굴에 윤기가 흐릅니다 ,1
자극이 덜한것 같아서,1
여드름피부 아니여도 사용하면  효과는 좋을것 같네요.  ,1
 향도 좋습니다.  ,1
아이들과 함께 사용하기 좋아요. ,1
완벽한 세정력으로 뽀득뽀득한 OOO 폼클렌징입니다.,1
세안 후 뽀도독한 느낌이 좋습니다. ,1
여드름도 진정시켜서 예쁜 피부가 되길 바라고 있습니다.,0
뽀득뽀득 잘 씻기더라고요.,1
충분히 더 사용해 보고 효과를 판단해 보려고 합니다. ,0
샘플도 있었으면 더 좋았을 거 같습니다.,-1
기획상품을 행사할 때 저렴하게 구매했습니다.,1
여드름과 피지 과다 피부에 세정력이 최고입니다.,1
용기가 튜브 방식이라,0
사용하기 편리하고,1
세정력이 최고입니다.,1
세정력도 많이 개선되고,1
일단 씻고나면 미끌거리지 않아 좋네요,1
겨울이라 씻고나면 당김현상은 잇지만,-1
당김현상은 잇지만,-1
 향도 은은하고 좋습니다.,1
세정력도 좋아 ,1
건조함 있지만 ,-1
순하고,1
용량도 괜찮아요 ,1
여드름도 덜 나는 것 같아요,1
세정력이 좋아서인지,1
피부가 시원하고,1
깨끗해지는 기분이 드네요 ,1
가격도 적당하고,1
용량이 넉넉해서,1
깨끗하게 잘 지워지고,1
건조하지 않아 좋아요.,1
가격이 더 저렴했으면 좋겠어요.,-1
제형은 부드럽고 ,1
사용감은 가벼운 느낌이 드네요.,1
자극적이지 않고,1
약산성이라 피부에 좋다는 느낌이 들어요. ,1
여드름 피부에 고민이 많이 되시는 분들이 쓰시면 효과가 좋아요.,1
 약산성이라 ,1
세안 후에 많이 안당겨서 좋고 ,1
각질도 관리되는 것 같아서 좋습니다.,1
양이 좀 작은 것 같아요. ,-1
○○○도 뽀득한 세정력은 아니고,-1
피부 자극이 적은 느낌이라 아침 세안용으로 씁니다.,1
피부가 당기는 느낌도 없고 좋은것같네요 ,1
세안 당시에는 뽀득거리는 느낌은 않나지만,-1
세정력도 이정도면 나쁘지않은 것 같네요 ,1
약산성이라 피부에도 좋을 것 같네요,1
냄새도 자극적이지 않고 좋아요,1
피부 트러블이 조금 줄어든것 같기도 합니다,1
용량도 다른 제품들보단 좀 커서,1
사은품으로 준 작은것도 여행에 가지고 가기 좋아요,1
여행에 가지고 가기 좋아요,1
덜 자극적인것 같네요.,1
트러블은 아직 없어  ,1
효과가 있었으면 좋겠어요.,0
뽀득뽀득 세정력이 꽤 좋습니다,1
냄새도 순한편이에요. ,1
이번엔 샘플이 없어서 아쉬웠어요. ,-1
뽀득 잘 씻겨지고,1
건조하지 않아서 좋습니다.,1
양도 많은 편이고,1
세정력도 좋은 편이라,1
효과를 기대하며,0
저렴한 폼클렌징을 찾고 있으면 추천합니다.,1
저렴하게 할인 할 때 잘 산 것 같습니다.,1
트러블완화에 크게 도움되지는 않는거 같습니다.,-1
트러블이 점점 심해져서 구매했는데 크게 효과는 못봤네요.,-1
세안후 미끌거림이 많이 남아 많이 헹구어야합니다.,-1
빅쿠폰 떴을때 이용해 저렴하게 구매했습니다. ,1
이번 제품이 예전 제품보다 더 미끄러워 아쉽네요. ,-1
가격을 좀 더 내리면 좋을 것 같습니다.,-1
사용 후 깔끔한 느낌과 ,1
놀라울 만큼 맑은 피부가 된 듯합니다. ,1
"향은 좀 아쉽고, ",-1
건성피부에는 추천하지 않습니다.,-1
제형에 크리미함을 더 추가해서,0
더 매끈하게 발려지는 느낌입니다.,1
이번 제품도 효과 기대해봅니다.,0
촉촉하면서,1
유분기는 제거 되어서 좋습니다.,1
향도 진하지 않아 좋고,1
행사할 때 구입하여 가격도 좋고,1
효과가 좋다면 재구매 의사 있습니다.,0
피지는 잘 씻깁니다.,1
매끈합니다.,1
향은 별로네요.,-1
용량이 적어,-1
향도 은은하고 좋아요. ,1
매트하지않아 ,1
촉촉하고 좋습니다. ,1
순하고 좋습니다.,1
피부도 매끈매끈하네요. ,1
 제형이 뻑뻑해 사용하기 불편하네요.,-1
피부의 매끈한 촉감을 되찾았습니다.,1
온가족이 애용하는 인생비누입니다.,1
넘 간편하고,1
얼굴 한톤 밝아지고 ,1
용량이 작아 아쉽지만 ,-1
 향기도 좋고,1
피부가 매끈해지네요. ,1
지성피부라 사용 후 번들거림이 없어 구입합니다.,1
이 제품은 적당히 유분기가 있어 좋아요,1
번들거림이 없어 구입합니다.,1
꾸준히 쓰면 모공 늘어진것도 어느정도 탄력 붙는 것 같아서 찾게되요.,1
 향은 별로지만,-1
 좋은 가격에 구매해서 만족해요.,1
각질 제거도 잘 되고 ,1
피부결도 매끈해져서 아주 마음에 들어요. ,1
가성비가 제일 좋습니다.,1
얼굴이 따갑고 붉어져서,-1
매끈한게 괜찮네요,1
비누제형이 무르고,-1
용량이 작아서 ,-1
향은 별로지만,-1
